Performer	Medium	Time	Level
Barenboim–Chicago SO	so	240	p
Solti–London Phil	so	204	p
Davis	so	270	p
Remembrance2009	cb	236	p
Belcher	org	254	p
Bish	org	232	p
ColdstrGuards	cb	239	p
Pallhuber–3 Lions BB	bb	257	a
Bernstein–BBC	so	315	p
Dudamel–SBolivarSym	so	239	p
John	org	252	p
Sunshine Brass	bb	186	a
Mahidol Sym Band	cb	173	a
Hills	org	240	p
Grimethorpe CollB	bb	200	p
Barbirolli_Halle O	so	200	p
Stokowski	so	244	p
Boult–London SO	so	211	p
Kindl–Marktoberdorfer BB	bb	238	a
Carter–Charlotte CB	cb	196	a
Cord–IndianaU	bb	188	a
Mack–SUNYFredonia CB	cb	160	a
U Akron CB	cb	193	a
Akron Youth Sym	so	188	a
BP–Ostwestfalen	cb	198	a
Santarsola–MoldovaPO	so	320	p
Klumpp_NWD PO	so	187	p
Burke–MancunianWinds	cb	257	a
US Army Field Band	cb	235	p
EE–Phonograph	so	186	p
Niemczyk–NWC O	so	169	a
Allentoff–Brockport SO	so	200	a
